feature_group,feature,exists_in_dataset
gaming_behavior,gaming_hours,True
gaming_behavior,gaming_hours_sq,True
gaming_behavior,gaming_study_ratio,True
gaming_behavior,gaming_hours_x_FPS,True
gaming_behavior,gaming_hours_x_RPG,True
study_behavior,study_hours,True
study_behavior,attendance,True
study_behavior,total_load,True
health_wellbeing,sleep_hours,True
health_wellbeing,stress_level_ord,True
health_wellbeing,addiction_score,True
health_wellbeing,social_activity,True
health_wellbeing,device_usage,True
health_wellbeing,reaction_time_ms,True
demographic_or_categorical,age,True
demographic_or_categorical,gender_Male,True
demographic_or_categorical,gender_Other,True
demographic_or_categorical,genre_Casual,True
demographic_or_categorical,genre_FPS,True
demographic_or_categorical,genre_RPG,True
