Model,Short_name,Model_family,Feature_set,Number_of_features,CV_RMSE_mean,CV_RMSE_std,CV_MAE_mean,CV_MAE_std,CV_R2_mean,CV_R2_std,Test_RMSE,Test_MAE,Test_R2
Gradient Boosting,gradient_boosting,tree_ensemble,full_features,23,5.780923503450497,0.06327334304978903,4.553908702691203,0.062442528758281914,0.9339749044894669,0.0010717610638409083,5.5982191101861405,4.424224118542632,0.9355452954805934
Random Forest,random_forest,tree_ensemble,full_features,23,5.941242573295924,0.09060522505228918,4.656259734872942,0.07191055335923116,0.9302574916964043,0.0017402225957059488,5.725354786797672,4.495106911830888,0.9325845178271907
Lasso Regression,lasso_regression,regularized_linear,full_features,23,6.332475595038888,0.034201477117026716,4.986150187169509,0.043959345303690174,0.9207776765002229,0.00032161649753074847,6.183781172253767,4.964183116367008,0.9213564585576104
ElasticNet Regression,elasticnet_regression,regularized_linear,full_features,23,6.333232917679498,0.034216242096734524,4.986769503455963,0.043816091907469,0.9207587463084138,0.0003171199633052763,6.183838664308707,4.964304643215108,0.9213549962161409
Linear Regression Full,linear_regression_full,linear,full_features,23,6.333179455880391,0.03464031537265317,4.986508141609758,0.044501695295258804,0.920760227807589,0.00029457891150213347,6.1841744711474265,4.965206289310314,0.9213464545162013
Ridge Regression,ridge_regression,regularized_linear,full_features,23,6.33333517608875,0.034512031078450016,4.986936572562516,0.04409155634591601,0.9207562342637614,0.00031535673128554995,6.184505681231896,4.965226866127972,0.9213380292865521
Ridge No Device Usage,ridge_no_device_usage,regularized_linear_sensitivity,full_no_device_usage,22,6.3325161647041615,0.03347608202001631,4.985975484714701,0.043293747072299736,0.9207766055126326,0.00031132637883101165,6.184644664480432,4.965569864706062,0.921334493735084
Piecewise Linear Sensitivity,piecewise_linear_sensitivity,linear,core_threshold_sensitivity,9,6.4590979158963195,0.06947622682997727,5.080054502548276,0.06172081411464942,0.9175763385598292,0.0012376969263723373,6.2397037312411,4.975528558261233,0.9199276129312046
Piecewise Linear 2h,piecewise_linear_2h,linear,core_threshold_2h,8,6.509145648388683,0.07953918471010832,5.133876646483695,0.07152235350511418,0.916287784499089,0.0017723138164198672,6.333378828711589,5.065223217148232,0.9175053529289606
Linear Regression Core,linear_regression_core,linear,core_features,6,6.680766585386143,0.10000516507916814,5.265843410736304,0.07261396742447909,0.9118018372143666,0.002663757952590448,6.478025609523665,5.170773951266992,0.9136941651159276
Dummy Mean Baseline,dummy_mean_baseline,baseline,full_features,23,22.515411130170353,0.10395749675028573,18.71733022009844,0.10965159900690637,-0.0015222144359832157,0.0014195751421869562,22.06444258643629,18.45635571029522,-0.00124591599063395
